startup_id,startup_name,sector,country,founded_year,funding_usd,program_id,status,employees
82,KnowledgeBase,EdTech,Rwanda,2020,3647984,2,Scaling,81
83,IrrigAI,AI/ML,Tanzania,2016,6067736,5,Closed,41
84,WellnessAI,HealthTech,Uganda,2020,3405579,5,Closed,18
85,LabCore,Biotechnology,Rwanda,2021,5607832,7,Acquired,80
86,EcoTech,CleanTech,Ghana,2021,4626430,1,Scaling,38
87,SeedBot,AgriTech,Rwanda,2021,6621422,10,Closed,85
88,GuardAI,Cybersecurity,Tanzania,2022,3735969,8,Acquired,67
89,RemitPro,FinTech,Ethiopia,2017,5556840,2,Scaling,67
90,TalentAI,EdTech,Tanzania,2016,6895433,4,Scaling,30
91,PrecisionGrow,AI/ML,Rwanda,2017,234895,1,Acquired,62
92,HealthStream,HealthTech,Kenya,2022,3506583,10,Acquired,93
93,ChemSpark,Biotechnology,Uganda,2022,3382531,4,Acquired,85
94,SunGrid,CleanTech,South Africa,2016,6559863,7,Acquired,24
95,AgroBot,AgriTech,Ethiopia,2015,4705858,4,Active,60
96,NetSafe,Cybersecurity,Nigeria,2022,5630047,9,Closed,78
97,PocketBank,FinTech,Tanzania,2022,5169300,9,Early Stage,108
98,SmartLearn,EdTech,Ethiopia,2017,6268233,8,Early Stage,35
99,FieldSense,AI/ML,Rwanda,2019,6454110,9,Early Stage,82
100,MedChain,HealthTech,Rwanda,2019,3719918,2,Scaling,32
101,GeneLab,Biotechnology,Ghana,2020,2711918,9,Active,19
102,PowerGrid,CleanTech,Nigeria,2018,3243132,3,Acquired,10
103,HarvestBot,AgriTech,Uganda,2021,2805634,9,Early Stage,55
104,CyberSafe,Cybersecurity,South Africa,2018,7016797,7,Early Stage,117
105,ZapPay,FinTech,South Africa,2024,3220867,8,Active,47
106,CampusAI,EdTech,Ghana,2021,7189240,7,Closed,97
