article_id,title,source,date,year,topic,sentiment
49,African tech ecosystem update #88,Daily Maverick,2021-08-21,2021,Innovation Policy,Negative
50,African tech ecosystem update #34,ITWeb,2021-08-19,2021,FinTech,Negative
51,African tech ecosystem update #75,Ventureburn,2021-08-17,2021,AI/ML,Neutral
52,UVU Africa and UCT collaborate on AI innovation hub,Daily Maverick,2021-08-10,2021,Digital Skills,Positive
53,UVU Africa rebrands from CiTi to reflect pan-African mission,Disrupt Africa,2021-07-12,2021,Innovation Policy,Neutral
54,African tech ecosystem update #47,Ventureburn,2021-07-11,2021,Startup Funding,Negative
55,African tech ecosystem update #35,MyBroadband,2021-06-21,2021,AI/ML,Neutral
56,African tech ecosystem update #74,Daily Maverick,2021-06-18,2021,FinTech,Positive
57,African tech ecosystem update #78,TechCabal,2021-06-15,2021,CleanTech,Positive
58,African startup ecosystem sees record FinTech investment,Disrupt Africa,2021-06-10,2021,Digital Skills,Neutral
59,UVU Africa partners with Microsoft for digital skills,BusinessTech,2021-06-06,2021,Innovation Policy,Positive
60,African tech ecosystem update #66,BusinessTech,2021-05-20,2021,FinTech,Positive
61,African tech ecosystem update #57,TechCabal,2021-04-16,2021,EdTech,Negative
62,African tech ecosystem update #39,Daily Maverick,2021-03-31,2021,Startup Funding,Negative
63,UVU Africa wins innovation ecosystem award,Disrupt Africa,2021-01-09,2021,Digital Skills,Positive
64,African tech ecosystem update #93,Disrupt Africa,2020-12-13,2020,Digital Skills,Negative
65,CAPACITI programme places hundreds of graduates in tech roles,Ventureburn,2020-12-12,2020,Startup Funding,Positive
66,UVU Bio opens Africa's first open-access biotech laboratory,TechCabal,2020-11-19,2020,Innovation Policy,Positive
67,African tech ecosystem update #94,BusinessTech,2020-11-13,2020,CleanTech,Neutral
68,African tech ecosystem update #97,ITWeb,2020-11-06,2020,EdTech,Negative
69,UVU Africa supports agritech startup in Limpopo,TechCabal,2020-10-08,2020,AI/ML,Positive
70,African tech ecosystem update #49,MyBroadband,2020-09-17,2020,EdTech,Positive
71,African tech ecosystem update #48,ITWeb,2020-08-31,2020,Innovation Policy,Negative
72,African tech ecosystem update #59,BusinessTech,2020-08-19,2020,AI/ML,Positive
73,African tech ecosystem update #99,TechCabal,2020-08-13,2020,AI/ML,Negative
74,African tech ecosystem update #77,MyBroadband,2020-07-11,2020,Digital Skills,Negative
75,African tech ecosystem update #53,Daily Maverick,2020-06-25,2020,Digital Skills,Positive
76,African tech ecosystem update #37,Disrupt Africa,2020-06-01,2020,Digital Skills,Negative
77,Innovation ecosystems expanding beyond Cape Town,Disrupt Africa,2020-05-29,2020,FinTech,Positive
78,African tech ecosystem update #60,Daily Maverick,2020-04-19,2020,Biotechnology,Neutral
79,African tech ecosystem update #84,MyBroadband,2020-04-13,2020,Biotechnology,Positive
80,UVU Africa trains 6000 entrepreneurs over 25 years,Daily Maverick,2020-03-29,2020,Biotechnology,Positive
81,Cybersecurity skills shortage tackled by UVU Africa programme,ITWeb,2020-03-19,2020,Innovation Policy,Positive
82,African tech ecosystem update #36,TechCabal,2020-01-13,2020,Biotechnology,Positive
83,South Africa's tech ecosystem grows despite economic headwinds,Daily Maverick,2020-01-08,2020,Biotechnology,Positive
84,African tech ecosystem update #90,ITWeb,2020-01-07,2020,FinTech,Negative
85,African tech ecosystem update #55,ITWeb,2019-12-22,2019,Startup Funding,Positive
86,African tech ecosystem update #72,Disrupt Africa,2019-12-06,2019,Innovation Policy,Neutral
87,African tech ecosystem update #54,Ventureburn,2019-11-18,2019,CleanTech,Positive
88,African tech ecosystem update #56,MyBroadband,2019-11-17,2019,Innovation Policy,Positive
89,African tech ecosystem update #41,ITWeb,2019-11-07,2019,EdTech,Positive
90,African tech ecosystem update #44,Disrupt Africa,2019-08-31,2019,Biotechnology,Negative
91,African tech ecosystem update #38,BusinessTech,2019-08-22,2019,CleanTech,Positive
92,African tech ecosystem update #32,Daily Maverick,2019-07-30,2019,Innovation Policy,Positive
93,African tech ecosystem update #92,TechCabal,2019-07-06,2019,Biotechnology,Negative
94,African tech ecosystem update #43,TechCabal,2019-06-24,2019,AI/ML,Positive
95,African tech ecosystem update #40,Ventureburn,2019-06-01,2019,Innovation Policy,Positive
96,African tech ecosystem update #71,TechCabal,2019-05-27,2019,Startup Funding,Positive
97,African tech ecosystem update #63,MyBroadband,2019-05-26,2019,Startup Funding,Positive
98,UVU Africa expands to Kigali Rwanda,Ventureburn,2019-05-22,2019,CleanTech,Positive
99,UVU Africa announces Johannesburg expansion plans,TechCabal,2019-04-04,2019,Digital Skills,Positive
100,African tech ecosystem update #83,ITWeb,2019-02-22,2019,AI/ML,Positive
